Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Stephen Carlson,CLE,23,te,7,5,6,4,44,11,1,2,21,0.6,6.3,0.67,7.3,0,0,0,0,0,0,0,0,4,11,44,1,0
Amari Cooper,DAL,25,WR,14,14,102,71,1073,15.1,8,50,53,5.1,76.6,0.7,10.5,0,0,0,0,0,0,0,0,71,15.1,1073,8,0
Blake Jarwin,DAL,25,TE,14,7,39,30,351,11.7,3,16,42,2.1,25.1,0.77,9,0,0,0,0,0,0,0,0,30,11.7,351,3,1
Cedrick Wilson,DAL,24,WR,6,0,8,5,46,9.2,0,2,14,0.8,7.7,0.63,5.8,0,0,0,0,0,0,0,0,5,9.2,46,0,0
Dalton Schultz,DAL,23,TE,14,0,1,1,6,6,0,0,6,0.1,0.4,1,6,0,0,0,0,0,0,0,0,1,6,6,0,0
Devin Smith,DAL,27,wr,4,2,9,5,113,22.6,1,4,51,1.3,28.3,0.56,12.6,0,0,0,0,0,0,0,0,5,22.6,113,1,0
Ezekiel Elliott,DAL,24,RB,14,14,59,44,381,8.7,1,19,27,3.1,27.2,0.75,6.5,270,1188,11,69,31,4.4,84.9,19.3,314,5,1569,12,3
Jason Witten,DAL,37,TE,14,14,76,57,491,8.6,4,25,33,4.1,35.1,0.75,6.5,0,0,0,0,0,0,0,0,57,8.6,491,4,1
Michael Gallup,DAL,23,WR,12,10,95,56,911,16.3,3,42,62,4.7,75.9,0.59,9.6,0,0,0,0,0,0,0,0,56,16.3,911,3,0
Randall Cobb,DAL,29,wr,13,5,70,45,674,15,3,33,59,3.5,51.8,0.64,9.6,3,11,0,0,7,3.7,0.8,0.2,48,14.3,685,3,2
Tavon Austin,DAL,29,WR,12,0,20,11,171,15.5,1,8,59,0.9,14.3,0.55,8.6,6,47,1,2,20,7.8,3.9,0.5,17,12.8,218,2,1
Tony Pollard,DAL,22,RB,13,0,18,14,102,7.3,1,4,21,1.1,7.8,0.78,5.7,70,395,2,18,44,5.6,30.4,5.4,84,5.9,497,3,0
Ventell Bryant,DAL,23,WR,10,0,1,1,15,15,1,1,15,0.1,1.5,1,15,0,0,0,0,0,0,0,0,1,15,15,1,0
Andrew Beck,DEN,23,RB,14,4,9,6,81,13.5,0,5,29,0.4,5.8,0.67,9,0,0,0,0,0,0,0,0,6,13.5,81,0,0
Andy Janovich,DEN,26,RB,7,3,5,5,42,8.4,0,1,22,0.7,6,1,8.4,1,1,1,1,1,1,0.1,0.1,6,7.2,43,1,0
Courtland Sutton,DEN,24,WR,14,12,106,63,1019,16.2,6,45,70,4.5,72.8,0.59,9.6,3,17,0,1,9,5.7,1.2,0.2,66,15.7,1036,6,1
DaeSean Hamilton,DEN,24,wr,14,2,40,17,167,9.8,0,9,28,1.2,11.9,0.43,4.2,0,0,0,0,0,0,0,0,17,9.8,167,0,0
Devontae Booker,DEN,27,RB,14,0,5,3,38,12.7,0,1,25,0.2,2.7,0.6,7.6,2,9,0,0,5,4.5,0.6,0.1,5,9.4,47,0,0
Diontae Spencer,DEN,27,wr,14,1,8,6,31,5.2,0,1,20,0.4,2.2,0.75,3.9,2,14,0,0,9,7,1,0.1,8,5.6,45,0,1
Fred Brown,DEN,26,wr,11,1,3,2,21,10.5,0,1,16,0.2,1.9,0.67,7,0,0,0,0,0,0,0,0,2,10.5,21,0,1
Jeff Heuerman,DEN,27,TE,12,10,18,12,101,8.4,1,8,26,1,8.4,0.67,5.6,0,0,0,0,0,0,0,0,12,8.4,101,1,0
Noah Fant,DEN,22,TE,14,10,62,37,548,14.8,3,23,75,2.6,39.1,0.6,8.8,3,-12,0,0,-2,-4,-0.9,0.2,40,13.4,536,3,1
Phillip Lindsay,DEN,25,RB,14,14,44,33,187,5.7,0,8,36,2.4,13.4,0.75,4.3,187,849,6,33,40,4.5,60.6,13.4,220,4.7,1036,6,0
Royce Freeman,DEN,23,RB,14,0,47,40,239,6,1,10,19,2.9,17.1,0.85,5.1,121,472,2,20,26,3.9,33.7,8.6,161,4.4,711,3,0
Tim Patrick,DEN,26,wr,6,1,23,10,156,15.6,0,9,38,1.7,26,0.44,6.8,0,0,0,0,0,0,0,0,10,15.6,156,0,0
Troy Fumagalli,DEN,24,te,9,5,7,5,29,5.8,1,1,9,0.6,3.2,0.71,4.1,0,0,0,0,0,0,0,0,5,5.8,29,1,0
Bo Scarbrough,DET,23,rb,4,4,4,1,5,5,0,0,5,0.3,1.3,0.25,1.3,72,301,1,13,30,4.2,75.3,18,73,4.2,306,1,1
C.J. Anderson,DET,28,RB,2,0,0,0,0,0,0,0,0,0,0,0,0,16,43,0,1,9,2.7,21.5,8,16,2.7,43,0,0
Chris Lacy,DET,23,WR,5,0,2,1,48,48,0,1,48,0.2,9.6,0.5,24,0,0,0,0,0,0,0,0,1,48,48,0,0
Danny Amendola,DET,34,WR,13,8,90,58,641,11.1,1,35,47,4.5,49.3,0.64,7.1,0,0,0,0,0,0,0,0,58,11.1,641,1,0
Isaac Nauta,DET,22,TE,4,0,3,2,13,6.5,0,1,10,0.5,3.3,0.67,4.3,0,0,0,0,0,0,0,0,2,6.5,13,0,0
J.D. McKissic,DET,26,rb,14,3,40,33,229,6.9,1,7,26,2.4,16.4,0.83,5.7,38,205,0,8,44,5.4,14.6,2.7,71,6.1,434,1,0
Jesse James,DET,25,TE,14,9,23,13,125,9.6,0,7,23,0.9,8.9,0.57,5.4,0,0,0,0,0,0,0,0,13,9.6,125,0,0
Kenny Golladay,DET,26,WR,14,14,100,56,1052,18.8,10,45,75,4,75.1,0.56,10.5,0,0,0,0,0,0,0,0,56,18.8,1052,10,1
